Name,Address,Type,Description,Image_URL
Arnold O Beckman High School,"3588 Bryan Ave, Irvine, CA 926023588 Bryan Ave, Irvine, CA 92602",School,This is where I went to high school from 2018-2022. I have so many great memories here where I met my friends for life. I could not have asked for a better high school experience. ,https://imagescdn.homes.com/i2/-aT0X3a2RuGBW7D9JWTfg-64LjtU9NSCUUrBQS8D_7c/102/irvine-high-school-irvine-ca-schoolphoto.jpg?p=1
54th Street,"54th St, Newport Beach, CA 92663",Beach,54th street has a lot of significance to me because this is the street my families and friends and I would go to on the weekends. It was always the best memories that I will always remember. It reminds me of clear skies and warm weather that makes me miss it everyday.,https://d14fqx6aetz9ka.cloudfront.net/wp-content/uploads/2018/12/08104947/klein_newport_July2017_004628-780x520.jpg 
Hotel Laguna,"425 S Coast Hwy, Laguna Beach, CA 92651",Hotel,"This hotel has great significance to me because in this past December, my sister got engaged and I helped set the whole thing up. It was such an exciting moment for not just me but my whole family to celebrate. I will always remember the day vividly. ",https://socallandmarks.com/wp-content/uploads/2022/07/HotelLaguna002.jpg
Malarky's Irish Pub,"3011 Newport Blvd, Newport Beach, CA 92663",Bar,This is the bar that all of my friends would go to when we were home for the summertime. It holds great memories for me because it was always the best times to reminise with my hometown friends.,https://ca-times.brightspotcdn.com/dims4/default/47fd725/2147483647/strip/true/crop/2048x1152+0+107/resize/1200x675!/quality/75/?url=https%3A%2F%2Fcalifornia-times-brightspot.s3.amazonaws.com%2Fbb%2F52%2F0cfcacfe6d4d0c724f67fba2e490%2Ftn-dpt-me-malarkys-gallery-20170921-001 
Bruegger's Bagels,"15346 Alton Pkwy, Irvine, CA 92618",Restaurant,This is a bagel store that my friends and I would walk to on half days in high school. It was always so fun to have independence rather than just getting picked up and going home. ,https://www.eatlife.net/restaurants/images/brueggers-bagels-irvine.jpg
Baja Fish,"13125 Jamboree Rd, Tustin, CA 92782",Restaurant,"This is a taco place where my family would always go to with my grandparents. This has significance to me because I have great memories spending time with my grandparents, specifically my grandpa. ",https://s3-media0.fl.yelpcdn.com/bphoto/e6CI4GR_R_w4JfHjUdRXzg/348s.jpg
Isabelle's Cabinet,"319 Marine Ave, Newport Beach, CA 92662",Store,This was a boutique where I got my first ever job. I have great memories here learning responsibility and how to make money on my own. ,https://visitnewportbeach.com/wp-content/uploads/2018/11/wideshoppingbf.jpg
Irvine Spectrum Center,"670 Spectrum Center Dr, Irvine, CA 92618",Shopping Mall,This mall is very special to me because I would always go there with my friends and family. I have had countless birthdays there and have made so many great memories.,https://www.irvinespectrumcenter.com/media/egedhlwn/isc-topnav-visit-giantwheelcourtyard-aerial-daytime.jpg?width=924&height=498&format=jpg&quality=100&slimmage=true&v=1db60951cba5a10&upscale=false
Regal Edwards Marketplace,"13782 Jamboree Rd, Irvine, CA 92602",Movie Theater,"This was always the movie theater I would go to with my family and friends. It was always a last minute decision that ended with fun. It was super close to my house, so it was always great to late night movies. ",https://static.where-e.com/United_States/California/Orange_County/Regal-Edwards-Market-Place_94e17fcfb50d5948792e1e2c1b84a48b.jpg
Ha Long Bay Pho and Grill,"13152 Newport Ave. Ste A. Tustin, CA 92780",Restaurant,This was always a restraurant that my friends and I would go to because it was always empty. The restaurant workers learned all of our names where we were if someone went without the rest of the group.,https://img.p.mapq.st/?url=https%3A%2F%2Fs3-media0.fl.yelpcdn.com%2Fbphoto%2FGuNayeuxikSbDwcKufPX5w%2Fl.jpg&w=3840&q=75
